chain_id,store_id,name,address,city,status
7290000000003,007,"סיטי מרקט י.ח.ר הסתדרות חולון בע""מ, ההסתדרות 106 חולון",ההסתדרות 106,חולון,OK
7290000000003,011,"סיטי מרקט י.י.נ.ג.ב רחובות בע""מ, הרצל 35 רחובות",הרצל 35,רחובות,OK
7290000000003,050,"סיטי מרקט י.נ.ג.ב ראשל""צ בע""מ, בן גוריון 4 ראש""לצ",בן גוריון 4 ראש לצ,ראשון לציון,OK
7290000000003,051,"סיטי מרקט י.נ.ג.ב ראשל""צ בע""מ, הרצל 31 ראש""לצ",הרצל 31 ראש לצ,ראשון לציון,OK
7290000000003,006,"סיטי מרקט יוסי&גבי בע""מ, המצודה 24 חולון",המצודה 24,חולון,OK
7290000000003,053,"סיטי מרקט כ""ס, רח' הנשר כ""ס",רח' הנשר,כפר סבא,OK
7290000000003,063,"סיטי מרקט כיכר המדינה, רח' ה' באייר 50 תל אביב",רח' ה' באייר 50 תל אביב,תל אביב,OK
7290000000003,070,"סיטי מרקט כרמי גת, שד' לכיש 181 ק.גת",שד' לכיש 181,קרית גת,OK
7290000000003,014,"סיטי מרקט מונסון יהוד, סיטי מרקט לוגאנו האיטלקית בע""מ",,יהוד,ADDRESS MISSING
7290000000003,023,"סיטי מרקט מח""ל, מח""ל 16 תל אביב",מח ל 16,תל אביב,OK
7290000000003,018,"סיטי מרקט נגבה בע""מ , דוידקא 1 תל אביב",דוידקא 1,תל אביב,OK
7290000000003,019,"סיטי מרקט סוקולוב חולון , רח' סוקולוב 75 חולון",רח' סוקולוב 75,חולון,OK
7290000000003,028,"סיטי מרקט סוקולוב חולון - סניף 2, סוקולוב 63",סוקולוב 63,חולון,OK
7290000000003,057,"סיטי מרקט סטרומה חולון, סוקולוב 3 חולון",סוקולוב 3,חולון,OK
7290000000003,033,"סיטי מרקט עדן טאוור, הקוממיות 2 בת ים",הקוממיות 2,בת ים,OK
7290000000003,029,"סיטי מרקט עין גנים, עין גנים 65 פתח תקווה",עין גנים 65,פתח תקווה,OK
7290000000003,052,"סיטי מרקט פ.פ.ת בע""מ, פינסקר 21 פ""ת",פינסקר 21,פתח תקווה,OK
7290000000003,003,"סיטי מרקט פינה מתוקה חולון בע""מ, הלוחמים 37 חולון",הלוחמים 37,חולון,OK
7290000000003,004,"סיטי מרקט פינה מתוקה חולון בע""מ, רבינוביץ' 58 חולון ",רבינוביץ' 58,חולון,OK
7290000000003,024,"סיטי מרקט פרדס חנה כרכור בע""מ, הדקלים 102 פרדס חנה",הדקלים 102 פרדס חנה,פרדס חנה כרכור,OK
7290000000003,032,"סיטי מרקט פרימיום, רח רוטשילד 57 ראשל""צ",רח רוטשילד 57,ראשון לציון,OK
7290000000003,064,"סיטי מרקט קינמון אשקלון, שלמה כהן 1 אשקלון",שלמה כהן 1,אשקלון,OK
7290000000003,069,"סיטי מרקט קרית אונו, לוי אשכול 121 קרת אונו",לוי אשכול 121 קרת אונו,קרית אונו,OK
7290000000003,017,"סיטי מרקט רוטשילד בע""מ, הרצל 199 רחובות",הרצל 199,רחובות,OK
7290000000003,056,"סיטי מרקט רמלה, יעקב דורי 2 רמלה",יעקב דורי 2,רמלה,OK
7290000000003,020,"סיטי מרקט תל כביר בע""מ, רח'  גרינבויים 41 ת""א",רח' גרינבויים 41,תל אביב,OK
7290000000003,046,"ענק הממתקים בע""מ, דרך שלמה 118 ת""א",דרך שלמה 118,תל אביב,OK
7290000000003,045,"ענק הממתקים בע""מ, הר ציון 45 תל אביב",הר ציון 45,תל אביב,OK
7290000000003,043,"ענק הממתקים בע""מ, לוינסקי 76 תל אביב",לוינסקי 76,תל אביב,OK
7290000000003,044,"ענק הממתקים בע""מ, לוינסקי 99 תל אביב",לוינסקי 99,תל אביב,OK
7290000000003,065,"רפאל עופר שיווק ושרות בעמ, ששת הימים 19 חדרה",ששת הימים 19,חדרה,OK
7290000000003,048,"שוורץ ושיש אינווסמנט בע""מ, קריניצי 7 רמת גן",קריניצי 7,רמת גן,OK
7290000000003,047,"שוורץ ושיש אינווסמנט בע""מ, רש""י 33 רמת גן",רש י 33,רמת גן,OK

